fecha,habitacion_id,planta,sector,tipo_habitacion,noches_estancia,nacionalidad,num_huespedes,tiene_ninos,segmento,dia_semana,mes,is_checkout,late_checkout,tiempo_estimado,tiempo_real,incidencia_camarera,opinion_cliente,sentimiento_nlp
2025-12-23,3602,36,alto,suite,3,Reino Unido,2,False,Pareja,1,12,1,0,,,,,
2025-12-23,1707,17,medio,doble_superior,1,España,2,False,Business,1,12,1,0,,,,,
2025-12-23,2904,29,medio,doble_superior,1,Reino Unido,2,False,Business,1,12,1,0,,,,,
2025-12-23,1018,10,bajo,doble_superior,2,España,2,False,Business,1,12,0,0,,,,,
2025-12-23,1007,10,bajo,doble_estandar,2,Francia,1,False,Business,1,12,1,0,,,,,
2025-12-23,1703,17,medio,doble_superior,2,España,2,False,Business,1,12,0,0,,,,,
2025-12-23,1905,19,medio,doble_superior,1,Reino Unido,2,True,Familia,1,12,1,1,,,,,
2025-12-23,5002,50,alto,suite,3,Reino Unido,1,True,Familia,1,12,0,0,,,,,
2025-12-23,406,4,bajo,doble_estandar,1,Reino Unido,2,True,Familia,1,12,1,1,,,,,
2025-12-23,1417,14,bajo,doble_superior,2,Reino Unido,2,False,Business,1,12,0,0,,,,,
2025-12-23,315,3,bajo,doble_superior,2,USA,2,False,Business,1,12,1,0,,,,,
2025-12-23,3202,32,alto,suite,1,Francia,4,False,Business,1,12,1,0,,,,,
2025-12-23,517,5,bajo,doble_superior,2,Reino Unido,2,False,Business,1,12,0,0,,,,,
2025-12-23,1510,15,bajo,doble_estandar,1,USA,1,False,Business,1,12,1,0,,,,,
2025-12-23,2703,27,medio,doble_superior,3,Alemania,3,False,Familia,1,12,0,0,,,,,
2025-12-23,3010,30,medio,doble_superior,7,Reino Unido,1,False,Turismo,1,12,0,0,,,,,
2025-12-23,2806,28,medio,doble_superior,1,Francia,2,False,Business,1,12,1,0,,,,,
2025-12-23,605,6,bajo,doble_estandar,1,Alemania,2,False,Business,1,12,1,0,,,,,
2025-12-23,2808,28,medio,doble_superior,1,España,2,False,Business,1,12,1,0,,,,,
2025-12-23,617,6,bajo,doble_superior,2,España,2,False,Business,1,12,1,0,,,,,
2025-12-23,310,3,bajo,doble_estandar,7,Reino Unido,3,True,Familia,1,12,0,0,,,,,
2025-12-23,1309,13,bajo,doble_estandar,4,Francia,2,True,Familia,1,12,0,0,,,,,
2025-12-23,602,6,bajo,doble_estandar,5,Reino Unido,1,False,Turismo,1,12,0,0,,,,,
2025-12-23,2204,22,medio,doble_superior,5,España,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1315,13,bajo,doble_superior,4,Alemania,2,True,Familia,1,12,0,0,,,,,
2025-12-23,2107,21,medio,doble_superior,5,Alemania,3,False,Familia,1,12,0,0,,,,,
2025-12-23,1516,15,bajo,doble_superior,1,Reino Unido,2,False,Business,1,12,1,0,,,,,
2025-12-23,2106,21,medio,doble_superior,3,Alemania,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,3601,36,alto,suite,5,España,3,False,Familia,1,12,0,0,,,,,
2025-12-23,412,4,bajo,doble_estandar,2,España,2,False,Business,1,12,0,0,,,,,
2025-12-23,2809,28,medio,doble_superior,2,Francia,2,False,Business,1,12,0,0,,,,,
2025-12-23,1106,11,bajo,doble_estandar,2,Reino Unido,2,False,Business,1,12,1,0,,,,,
2025-12-23,4502,45,alto,suite,3,Reino Unido,3,False,Familia,1,12,0,0,,,,,
2025-12-23,1006,10,bajo,doble_estandar,2,Francia,2,False,Business,1,12,0,0,,,,,
2025-12-23,802,8,bajo,doble_estandar,2,Alemania,2,False,Business,1,12,0,0,,,,,
2025-12-23,3803,38,alto,suite,2,Alemania,2,False,VIP,1,12,0,0,,,,,
2025-12-23,214,2,bajo,doble_estandar,5,USA,1,False,Turismo,1,12,0,0,,,,,
2025-12-23,3502,35,alto,suite,2,Reino Unido,2,True,Familia,1,12,0,0,,,,,
2025-12-23,3402,34,alto,suite,4,Francia,2,True,Familia,1,12,0,0,,,,,
2025-12-23,411,4,bajo,doble_estandar,4,Reino Unido,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1418,14,bajo,doble_superior,2,Reino Unido,1,False,Business,1,12,1,0,,,,,
2025-12-23,2705,27,medio,doble_superior,2,España,2,False,Business,1,12,1,0,,,,,
2025-12-23,2905,29,medio,doble_superior,5,Alemania,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,3403,34,alto,suite,3,Francia,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,809,8,bajo,doble_estandar,1,Reino Unido,2,False,Business,1,12,1,0,,,,,
2025-12-23,1609,16,medio,doble_superior,1,Reino Unido,2,False,Business,1,12,1,0,,,,,
2025-12-23,3001,30,medio,doble_superior,1,Alemania,1,False,Business,1,12,1,0,,,,,
2025-12-23,506,5,bajo,doble_estandar,2,USA,3,True,Familia,1,12,1,1,,,,,
2025-12-23,518,5,bajo,doble_superior,4,España,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,2802,28,medio,doble_superior,10,USA,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,416,4,bajo,doble_superior,3,USA,1,False,Turismo,1,12,1,0,,,,,
2025-12-23,5001,50,alto,suite,1,Alemania,1,False,VIP,1,12,1,0,,,,,
2025-12-23,712,7,bajo,doble_estandar,5,Francia,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,410,4,bajo,doble_estandar,5,Reino Unido,3,True,Familia,1,12,0,0,,,,,
2025-12-23,2310,23,medio,doble_superior,1,Francia,2,False,Business,1,12,1,0,,,,,
2025-12-23,2407,24,medio,doble_superior,2,Reino Unido,2,False,Business,1,12,0,0,,,,,
2025-12-23,2004,20,medio,doble_superior,3,Reino Unido,2,True,Familia,1,12,1,1,,,,,
2025-12-23,1017,10,bajo,doble_superior,1,Alemania,2,False,Business,1,12,1,0,,,,,
2025-12-23,1204,12,bajo,doble_estandar,2,Francia,2,False,Business,1,12,0,0,,,,,
2025-12-23,812,8,bajo,doble_estandar,2,España,1,True,Familia,1,12,1,1,,,,,
2025-12-23,405,4,bajo,doble_estandar,4,Francia,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,516,5,bajo,doble_superior,2,USA,3,False,Business,1,12,1,0,,,,,
2025-12-23,301,3,bajo,doble_estandar,1,España,3,True,Familia,1,12,1,1,,,,,
2025-12-23,211,2,bajo,doble_estandar,7,Reino Unido,2,False,Pareja,1,12,1,0,,,,,
2025-12-23,612,6,bajo,doble_estandar,7,Francia,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1704,17,medio,doble_superior,2,Francia,2,False,Business,1,12,0,0,,,,,
2025-12-23,3303,33,alto,suite,2,Reino Unido,2,False,Business,1,12,0,0,,,,,
2025-12-23,1217,12,bajo,doble_superior,1,España,2,False,Business,1,12,0,0,,,,,
2025-12-23,1805,18,medio,doble_superior,4,Alemania,2,False,Pareja,1,12,1,0,,,,,
2025-12-23,317,3,bajo,doble_superior,5,USA,1,False,Turismo,1,12,0,0,,,,,
2025-12-23,714,7,bajo,doble_estandar,5,España,1,False,Turismo,1,12,1,0,,,,,
2025-12-23,2201,22,medio,doble_superior,2,USA,2,False,Business,1,12,0,0,,,,,
2025-12-23,4601,46,alto,suite,10,Reino Unido,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1109,11,bajo,doble_estandar,1,España,2,False,Business,1,12,1,0,,,,,
2025-12-23,1401,14,bajo,doble_estandar,2,España,2,False,Business,1,12,0,0,,,,,
2025-12-23,514,5,bajo,doble_estandar,1,Francia,2,False,Business,1,12,1,0,,,,,
2025-12-23,5202,52,alto,suite,1,Reino Unido,4,False,Business,1,12,1,0,,,,,
2025-12-23,401,4,bajo,doble_estandar,3,Alemania,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,4302,43,alto,suite,4,Francia,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,916,9,bajo,doble_superior,2,España,2,False,Business,1,12,1,0,,,,,
2025-12-23,2208,22,medio,doble_superior,3,Reino Unido,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1002,10,bajo,doble_estandar,5,Alemania,1,False,Turismo,1,12,0,0,,,,,
2025-12-23,2203,22,medio,doble_superior,4,España,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1114,11,bajo,doble_estandar,2,USA,3,False,Business,1,12,1,0,,,,,
2025-12-23,306,3,bajo,doble_estandar,7,Alemania,1,False,Turismo,1,12,0,0,,,,,
2025-12-23,2807,28,medio,doble_superior,1,Reino Unido,1,False,Business,1,12,1,0,,,,,
2025-12-23,1301,13,bajo,doble_estandar,1,Alemania,2,False,Business,1,12,1,0,,,,,
2025-12-23,303,3,bajo,doble_estandar,4,USA,2,False,Pareja,1,12,0,0,,,,,
2025-12-23,1710,17,medio,doble_superior,1,Reino Unido,1,False,Business,1,12,1,0,,,,,
2025-12-23,811,8,bajo,doble_estandar,2,España,2,False,Business,1,12,0,0,,,,,
