fecha,habitacion_id,planta,sector,tipo_habitacion,noches_estancia,nacionalidad,num_huespedes,tiene_ninos,segmento,dia_semana,mes,is_checkout,late_checkout,tiempo_estimado,tiempo_real,incidencia_camarera,opinion_cliente,sentimiento_nlp
2025-10-06,3602,36,alto,suite,2,España,2,False,Business,0,10,1,0,,,,,
2025-10-06,512,5,bajo,doble_estandar,3,España,3,False,Familia,0,10,0,0,,,,,
2025-10-06,2908,29,medio,doble_superior,5,Francia,2,False,Pareja,0,10,0,0,,,,,
2025-10-06,815,8,bajo,doble_superior,3,Reino Unido,2,False,Pareja,0,10,0,0,,,,,
2025-10-06,2909,29,medio,doble_superior,1,USA,2,False,Business,0,10,1,0,,,,,
2025-10-06,3101,31,alto,suite,10,Alemania,3,False,VIP,0,10,1,1,,,,,
2025-10-06,1302,13,bajo,doble_estandar,2,Francia,1,False,Business,0,10,1,0,,,,,
2025-10-06,1005,10,bajo,doble_estandar,7,Francia,1,False,Turismo,0,10,0,0,,,,,
2025-10-06,4102,41,alto,suite,5,España,2,True,Familia,0,10,0,0,,,,,
2025-10-06,1404,14,bajo,doble_estandar,4,España,3,False,Familia,0,10,1,1,,,,,
2025-10-06,1518,15,bajo,doble_superior,1,España,2,True,Familia,0,10,1,1,,,,,
2025-10-06,3009,30,medio,doble_superior,1,Reino Unido,3,False,Business,0,10,1,0,,,,,
2025-10-06,4402,44,alto,suite,4,Francia,3,False,Familia,0,10,0,0,,,,,
2025-10-06,4901,49,alto,suite,2,Alemania,3,False,VIP,0,10,1,1,,,,,
2025-10-06,1610,16,medio,doble_superior,7,Alemania,1,False,Turismo,0,10,0,0,,,,,
2025-10-06,1804,18,medio,doble_superior,10,USA,2,False,Pareja,0,10,0,0,,,,,
2025-10-06,1806,18,medio,doble_superior,1,España,2,True,Familia,0,10,0,0,,,,,
2025-10-06,1315,13,bajo,doble_superior,2,Reino Unido,2,False,Business,0,10,1,0,,,,,
2025-10-06,1701,17,medio,doble_superior,1,Reino Unido,2,False,Business,0,10,1,0,,,,,
2025-10-06,612,6,bajo,doble_estandar,4,España,1,False,Turismo,0,10,0,0,,,,,
2025-10-06,306,3,bajo,doble_estandar,1,Reino Unido,2,False,Business,0,10,1,0,,,,,
2025-10-06,318,3,bajo,doble_superior,3,Alemania,2,False,Pareja,0,10,1,0,,,,,
2025-10-06,718,7,bajo,doble_superior,2,Alemania,1,False,Business,0,10,0,0,,,,,
2025-10-06,2605,26,medio,doble_superior,1,España,1,False,Business,0,10,1,0,,,,,
2025-10-06,1709,17,medio,doble_superior,5,Reino Unido,2,False,Pareja,0,10,0,0,,,,,
2025-10-06,704,7,bajo,doble_estandar,2,Alemania,2,False,Business,0,10,1,0,,,,,
2025-10-06,3702,37,alto,suite,2,España,3,False,Business,0,10,1,0,,,,,
2025-10-06,613,6,bajo,doble_estandar,3,España,3,False,Familia,0,10,0,0,,,,,
2025-10-06,2503,25,medio,doble_superior,4,Reino Unido,2,False,Pareja,0,10,1,1,,,,,
2025-10-06,1516,15,bajo,doble_superior,2,Reino Unido,2,False,Business,0,10,0,0,,,,,
2025-10-06,210,2,bajo,doble_estandar,1,Alemania,2,False,Business,0,10,1,0,,,,,
2025-10-06,3201,32,alto,suite,4,Francia,2,False,Pareja,0,10,0,0,,,,,
2025-10-06,4601,46,alto,suite,2,Reino Unido,1,False,Business,0,10,1,0,,,,,
