fecha,habitacion_id,planta,sector,tipo_habitacion,noches_estancia,nacionalidad,num_huespedes,tiene_ninos,segmento,dia_semana,mes,is_checkout,late_checkout,tiempo_estimado,tiempo_real,incidencia_camarera,opinion_cliente,sentimiento_nlp
2025-05-25,817,8,bajo,doble_superior,1,USA,2,False,Business,6,5,1,0,,,,,
2025-05-25,3203,32,alto,suite,2,USA,3,True,VIP,6,5,0,0,,,,,
2025-05-25,2509,25,medio,doble_superior,1,Alemania,2,False,Business,6,5,1,0,,,,,
2025-05-25,1701,17,medio,doble_superior,1,España,2,False,Business,6,5,1,0,,,,,
2025-05-25,613,6,bajo,doble_estandar,3,Francia,2,False,Pareja,6,5,0,0,,,,,
2025-05-25,506,5,bajo,doble_estandar,4,USA,1,False,Turismo,6,5,0,0,,,,,
2025-05-25,1305,13,bajo,doble_estandar,3,Reino Unido,2,False,Pareja,6,5,0,0,,,,,
2025-05-25,501,5,bajo,doble_estandar,10,Reino Unido,2,False,Pareja,6,5,0,0,,,,,
2025-05-25,2210,22,medio,doble_superior,10,USA,2,False,Pareja,6,5,0,0,,,,,
2025-05-25,1603,16,medio,doble_superior,2,Alemania,2,False,Business,6,5,0,0,,,,,
2025-05-25,1607,16,medio,doble_superior,3,USA,2,False,Pareja,6,5,0,0,,,,,
2025-05-25,1115,11,bajo,doble_superior,1,Reino Unido,1,False,Business,6,5,0,0,,,,,
2025-05-25,1015,10,bajo,doble_superior,3,USA,2,True,Familia,6,5,0,0,,,,,
2025-05-25,1407,14,bajo,doble_estandar,2,España,1,False,Business,6,5,0,0,,,,,
2025-05-25,618,6,bajo,doble_superior,3,Alemania,2,False,Pareja,6,5,0,0,,,,,
2025-05-25,1504,15,bajo,doble_estandar,1,Reino Unido,2,False,Business,6,5,1,0,,,,,
2025-05-25,3003,30,medio,doble_superior,2,USA,2,False,Business,6,5,1,0,,,,,
2025-05-25,1116,11,bajo,doble_superior,4,España,1,False,Turismo,6,5,0,0,,,,,
2025-05-25,317,3,bajo,doble_superior,4,USA,2,False,Pareja,6,5,1,1,,,,,
2025-05-25,1810,18,medio,doble_superior,1,Reino Unido,3,False,Business,6,5,1,0,,,,,
2025-05-25,305,3,bajo,doble_estandar,7,Reino Unido,1,False,Turismo,6,5,0,0,,,,,
